#~~dExchange Item Look Up File ~ Format: ITEMNAME=ID:DAMAGE,BuyPrice,SellPrice (DAMAGE is optional) Set a price to 0 to disable it~~#
IRONBOOTS=309,20.00,10.00
DIAMONDHELMET=310,250.00,175.00
DIAMONDCHESTPLATE=311,400.00,200.00
DIAMONDLEGGINGS=312,350.00,175.00
DIAMONDPANTS=312,350.00,175.00
DIAMONDBOOTS=313,200.00,100.00
GOLDHELMET=314,0,0
GOLDCHESTPLATE=315,0,0
GOLDLEGGINGS=316,0,0
GOLDPANTS=316,0,0
GOLDBOOTS=317,0,0
FLINT=318,0.25,0.12
RAWPORKCHOP=319,1.50,0.75
COOKEDPORKCHOP=320,3.00,1.50
PAINTING=321,9.00,4.50
GOLDENAPPLE=322,5.00,2.50
SIGN=323,3.50,1.75
WOODDOOR=324,3.00,1.75
BUCKET=325,15.00,7.50
WATERBUCKET=326,15.50,7.75
LAVABUCKET=327,17.00,8.50
MINECART=328,25.00,12.50
SADDLE=329,2.00,1.00
IRONDOOR=330,30.00,15.00
REDSTONE=331,1.50,0.75
SNOWBALL=332,0.20,0.10
BOAT=333,5.00,2.50
LEATHER=334,0.50,0.25
MILKBUCKET=335,16.00,8.00
CLAYBRICK=336,1.25,0.82
CLAYBALLS=337,1.00,0.50
SUGARCANE=338,1.00,0.50
PAPER=339,2.00,1.00
BOOK=340,6.00,3.00
SLIMEBALL=341,0.50,0.25
STORAGEMINECART=342,29.00,14.50
POWEREDMINECART=343,33.00,16.50
EGG=344,1.00,0.50
COMPASS=345,21.50,10.75
FISHINGROD=346,3.00,1.50
CLOCK=347,150.00,75.00
GLOWSTONEDUST=348,6.00,3.00
RAWFISH=349,1.50,0.75
COOKEDFISH=350,2.50,1.25
INKSACK=351,0.50,0.25
BLACKDYE=351,0.50,0.25
ROSERED=351:1,0.50,0.25
REDDYE=351:1,0.50,0.25
CACTUSGREEN=351:2,0.50,0.25
GREENDYE=351:2,0.50,0.25
COCOBEANS=351:3,0.50,0.25
BROWNDYE=351:3,0.50,0.25
LAPISLAZULI=351:4,0.50,0.25
BLUEDYE=351:4,0.50,0.25
PURPLEDYE=351:5,0.50,0.25
CYANDYE=351:6,0.50,0.25
LIGHTGRAYDYE=351:7,0.50,0.25
GRAYDYE=351:8,0.50,0.25
PINKDYE=351:9,0.50,0.25
LIMEDYE=351:10,0.50,0.25
LIGHTGREENDYE=351:10,0.50,0.25
DANDELIONYELLOW=351:11,0.50,0.25
YELLOWDYE=351:11,0.50,0.25
LIGHTBLUEDYE=351:12,0.50,0.25
MAGENTADYE=351:13,0.50,0.25
ORANGEDYE=351:14,0.50,0.25
BONEMEAL=351:15,0.50,0.25
WHITEDYE=351:15,0.50,0.25
BONE=352,2.50,1.25
SUGAR=353,1.00,0.50
CAKE=354,10.00,5.00
BED=355,16.50,8.25
REDSTONEREPEATER=356,11.50,5.75
COOKIE=357,0.50,0.25
MAP=358,0,0
SHEARS=359,10.00,5.00
MELONSLICE=360,3.00,1.50
PUMPKINSEEDS=361,0.75,0.38
MELONSEEDS=362,0.75,0.38
RAWBEEF=363,1.00,0.50
STEAK=364,2.50,1.25
RAWCHICKEN=365,1.00,0.50
COOKEDCHICKEN=366,2.50,1.25
ROTTENFLESH=367,0,0
ENDERPERL=368,2.00,1.00
BLAZEROD=369,5.00,2.50
GHASTTEAR=370,1.50,0.75
GOLDNUGGET=371,2.50,1.25
NETHERWARTSEEDS=372,0.50,0.25
POTION=373,300.00,150.00
GLASSBOTTLE=374,40.00,20.00
SPIDEREYE=375,3.00,1.50
FERMENTEDSPIDEREYE=376,6.00,3.00
BLAZEPOWDER=377,3.00,1.50
MAGMACREAM=378,2.00,1.00
GOLDMUSICDISC=2256,25.00,12.50
GREENMUSICDISC=2257,25.00,12.50
